user_id,book_id,rating
5115,409,5
41322,41,5
13438,596,3
39116,60,3
8014,23,4
10808,42,4
23688,83,4
18968,1970,2
27332,208,2
18618,39,5
26704,129,5
16789,538,4
22201,820,4
32654,321,4
36099,90,3
10294,27,4
27816,191,5
47024,584,1
22195,49,3
14207,395,4
6027,596,3
31001,14,5
17009,194,4
24222,116,3
39142,925,3
22813,5,5
36588,39,4
43037,916,5
10885,140,4
49342,109,3
7302,18,4
47007,201,3
12628,24,5
2182,117,5
3487,59,4
8719,66,4
202,175,5
19308,270,5
36800,21,5
26750,251,5
30794,59,4
9299,60,4
32834,39,5
33580,301,1
25840,1061,5
6790,38,4
32162,557,5
6514,21,4
16780,172,4
8807,29,5
34755,467,4
36528,529,3
6342,386,4
16823,383,3
27612,342,5
34189,45,4
7257,121,4
3100,174,2
46384,23,4
16810,848,5
1267,5,4
23460,848,4
2732,664,4
23413,59,4
18857,33,5
47754,354,4
16780,229,4
18390,28,3
13989,104,5
32597,160,2
14890,213,2
34270,461,3
17633,1477,3
880,725,3
16096,317,4
48911,304,4
8071,1021,3
8460,36,5
10341,172,4
48535,612,4
3213,133,5
15185,33,5
17654,13,5
37097,367,4
9142,78,3
2285,81,4
21077,4,4
21724,116,4
26213,1,5
18179,561,4
6338,85,5
2345,130,3
11132,211,4
13144,1365,4
52772,441,5
30329,207,5
29242,160,4
20433,916,3
4897,35,2
8826,6,5
25339,278,5
12727,62,3
8719,48,3
400,57,2
35696,161,5
23707,117,4
8802,18,5
37717,409,4
16858,824,4
25798,33,5
2792,709,5
6394,706,3
41648,123,3
16597,1,4
19250,584,3
35505,189,5
12875,72,4
43924,25,3
7225,28,5
9644,10,5
29822,98,5
16948,396,4
14468,93,4
39113,150,3
362,658,5
51031,145,3
8401,24,4
41499,1457,3
30747,49,3
11175,345,3
12944,71,5
39266,131,5
30681,646,1
7740,508,4
22287,80,5
17683,323,4
24968,288,3
5993,233,4
16129,216,4
18960,33,4
17501,28,5
3969,273,3
20419,104,5
17415,191,4
25921,332,3
27581,222,5
21217,129,3
39517,136,3
3420,383,5
43078,197,5
24155,4,4
38597,650,4
32053,34,1
26825,493,4
5239,13,4
22248,404,2
39118,544,3
28189,76,3
8505,122,4
28827,276,2
9369,1605,5
17387,986,3
41234,516,4
30487,83,4
6698,561,3
5711,2124,4
26411,473,3
32809,715,3
15161,696,3
43519,230,4
22774,736,3
52972,83,3
9195,73,3
7424,29,4
8566,287,5
21380,1675,1
25485,16,4
52518,17,1
11274,24,4
34539,1,4
13084,961,5
15254,82,4
12193,14,3
26429,782,4
52858,441,4
17143,11,4
31634,1159,3
28740,90,4
45485,1393,5
9449,14,3
44836,136,5
27122,387,4
35866,522,4
338,154,4
32397,75,4
16022,924,4
25164,131,3
43410,32,5
17151,2,3
35531,58,3
4891,97,2
23438,762,5
2501,839,5
46107,346,3
34494,60,4
35284,672,4
10727,148,4
48478,574,5
41738,1936,3
46095,523,3
11128,32,5
40787,407,4
17592,225,5
20560,15,3
48951,160,3
31721,91,2
28213,161,5
51163,343,5
14689,295,4
8862,186,3
38312,27,5
13395,457,4
33651,426,5
13600,378,4
7071,405,2
20414,516,4
47800,398,5
12791,278,5
32901,32,4
29293,5,5
23086,138,3
49850,54,1
18620,642,3
28213,196,4
8973,396,4
40769,11,5
33069,18,4
40829,14,3
34078,42,3
9422,43,5
26983,1334,3
18505,14,3
8828,540,5
5115,496,3
8750,53,4
24151,265,5
26716,2,5
12874,606,3
25669,226,4
26654,556,5
35510,179,4
34944,2,4
49491,413,5
24781,1518,5
34248,80,5
51409,967,4
10754,497,3
33585,479,4
35126,115,4
47478,2,2
35593,120,4
10432,422,5
47032,57,3
31996,271,1
42776,335,3
25374,59,5
10530,7,2
13878,138,2
25485,7,4
38267,47,3
28392,461,5
17613,31,3
45182,17,4
17434,80,3
43397,321,5
28416,368,3
10561,289,5
9716,296,4
12535,13,4
5209,11,3
4816,194,2
5436,11,4
27595,7,4
16415,33,4
41858,471,4
13925,14,4
53327,592,4
43683,314,3
22073,364,5
5121,1,3
11527,495,5
25932,31,5
51561,48,3
2487,727,3
20040,108,1
15267,45,1
9403,387,3
44694,317,4
23619,325,5
25327,79,4
11773,306,2
51660,305,3
6668,432,4
38905,150,5
13458,217,3
14132,174,5
22629,540,3
11947,251,5
20615,396,4
45094,70,2
15313,118,4
6630,675,4
2629,126,5
34713,819,3
47401,161,4
24052,43,5
34611,743,5
33555,109,5
16502,137,3
41712,285,4
15650,650,3
14404,156,4
41282,354,5
10018,71,2
31001,587,5
3214,25,5
11304,70,3
52334,68,4
49129,58,4
11114,158,4
19455,120,5
27047,140,5
47331,941,5
8082,637,5
35638,237,5
22217,291,5
46803,625,3
1688,407,3
24396,268,5
36355,559,4
34270,31,2
18456,314,4
45345,966,5
26203,102,5
36956,431,4
45248,100,5
29832,198,4
47150,155,3
29240,63,5
7845,48,3
28550,198,5
11216,554,3
25669,734,4
23202,337,5
48602,375,4
5238,704,4
15498,83,5
3412,350,5
21316,158,4
13197,43,3
28189,148,4
5629,1255,4
8697,295,4
2434,61,4
32813,213,5
3850,941,4
9422,60,5
52542,1521,3
4019,689,5
45050,271,1
3578,383,3
3857,38,5
26265,611,3
29671,490,5
22795,625,5
9422,337,4
10228,111,4
11473,35,4
15020,637,3
43363,316,5
22813,317,5
16474,788,4
1484,734,4
52032,779,4
31191,8,5
11132,115,5
19976,19,5
40789,36,4
51673,130,5
13520,1311,4
2157,473,3
7234,359,4
5569,1,3
30506,199,2
26665,287,3
18193,45,5
46737,16,4
32476,97,4
3837,8,4
32364,33,3
7969,23,5
35594,67,5
14810,556,5
6925,557,3
18736,21,3
30920,417,3
24253,270,4
3222,85,5
9357,1605,4
8548,136,3
48462,8,5
3237,1178,3
11216,14,3
5633,32,4
30313,310,4
11415,17,3
40103,61,3
13197,368,5
26728,347,4
8862,323,5
1585,38,5
41556,9,4
12167,715,4
52171,664,5
41969,930,4
33572,935,5
47764,25,4
38284,216,2
27533,4,2
3246,997,4
7784,11,5
52409,660,2
12146,670,4
19584,215,4
5610,102,5
32182,95,5
35364,33,4
26282,1334,4
11069,1088,5
24451,313,4
30207,444,1
42776,140,4
41270,93,3
9077,42,5
43395,39,5
2285,29,3
43956,111,4
5335,56,4
29428,727,4
28614,101,3
38121,33,5
24151,219,5
